Month,Sales_k
01-Jan-72,580
01-Feb-72,610
01-Mar-72,630
01-Apr-72,670
01-May-72,710
01-Jun-72,710
01-Jul-72,630
01-Aug-72,590
01-Sep-72,580
01-Oct-72,570
01-Nov-72,560
01-Dec-72,570
01-Jan-73,590
01-Feb-73,620
01-Mar-73,640
01-Apr-73,680
01-May-73,730
01-Jun-73,730
01-Jul-73,650
01-Aug-73,610
01-Sep-73,590
01-Oct-73,580
01-Nov-73,570
01-Dec-73,590
01-Jan-74,620
01-Feb-74,650
01-Mar-74,680
01-Apr-74,720
01-May-74,760
01-Jun-74,750
01-Jul-74,670
01-Aug-74,630
01-Sep-74,610
01-Oct-74,600
01-Nov-74,600
01-Dec-74,620
01-Jan-75,650
01-Feb-75,680
01-Mar-75,700
01-Apr-75,730
01-May-75,770
01-Jun-75,770
01-Jul-75,690
01-Aug-75,640
01-Sep-75,620
01-Oct-75,610
01-Nov-75,610
01-Dec-75,620
01-Jan-76,660
01-Feb-76,690
01-Mar-76,720
01-Apr-76,770
01-May-76,800
01-Jun-76,810
01-Jul-76,720
01-Aug-76,680
01-Sep-76,670
01-Oct-76,650
01-Nov-76,650
01-Dec-76,680
01-Jan-77,700
01-Feb-77,730
01-Mar-77,750
01-Apr-77,800
01-May-77,820
01-Jun-77,830
01-Jul-77,750
01-Aug-77,710
01-Sep-77,690
01-Oct-77,670
01-Nov-77,670
01-Dec-77,690
01-Jan-78,700
01-Feb-78,730
01-Mar-78,760
01-Apr-78,810
01-May-78,840
01-Jun-78,840
01-Jul-78,770
01-Aug-78,730
01-Sep-78,710
01-Oct-78,690
01-Nov-78,690
01-Dec-78,700
01-Jan-79,720
01-Feb-79,750
01-Mar-79,770
01-Apr-79,820
01-May-79,860
01-Jun-79,860
01-Jul-79,790
01-Aug-79,750
01-Sep-79,740
01-Oct-79,710
01-Nov-79,700
01-Dec-79,720
01-Jan-80,740
01-Feb-80,770
01-Mar-80,790
01-Apr-80,840
01-May-80,870
01-Jun-80,870
01-Jul-80,800
01-Aug-80,770
01-Sep-80,750
01-Oct-80,730
01-Nov-80,720
01-Dec-80,740
01-Jan-81,790
01-Feb-81,820
01-Mar-81,840
01-Apr-81,890
01-May-81,920
01-Jun-81,930
01-Jul-81,850
01-Aug-81,820
01-Sep-81,800
01-Oct-81,790
01-Nov-81,770
01-Dec-81,790
01-Jan-82,810
01-Feb-82,840
01-Mar-82,870
01-Apr-82,910
01-May-82,940
01-Jun-82,950
01-Jul-82,880
01-Aug-82,840
01-Sep-82,820
01-Oct-82,800
01-Nov-82,780
01-Dec-82,790
01-Jan-83,810
01-Feb-83,840
01-Mar-83,870
01-Apr-83,910
01-May-83,940
01-Jun-83,940
01-Jul-83,870
01-Aug-83,820
01-Sep-83,800
01-Oct-83,780
01-Nov-83,770
01-Dec-83,790
01-Jan-84,810
01-Feb-84,850
01-Mar-84,870
01-Apr-84,920
01-May-84,950
01-Jun-84,960
01-Jul-84,890
01-Aug-84,850
01-Sep-84,830
01-Oct-84,800
01-Nov-84,780
01-Dec-84,800
