Year,Annual barley yields per acre in England & Wales 1884 ? 1939
1884,15.2
1885,16.9
1886,15.3
1887,14.9
1888,15.7
1889,15.1
1890,16.7
1891,16.3
1892,16.5
1893,13.3
1894,16.5
1895,15
1896,15.9
1897,15.5
1898,16.9
1899,16.4
1900,14.9
1901,14.5
1902,16.6
1903,15.1
1904,14.6
1905,16
1906,16.8
1907,16.8
1908,15.5
1909,17.3
1910,15.5
1911,15.5
1912,14.2
1913,15.8
1914,15.7
1915,14.1
1916,14.8
1917,14.4
1918,15.6
1919,13.9
1920,14.7
1921,14.3
1922,14
1923,14.5
1924,15.4
1925,15.3
1926,16
1927,16.4
1928,17.2
1929,17.8
1930,14.4
1931,15
1932,16
1933,16.8
1934,16.9
1935,16.6
1936,16.2
1937,14
1938,18.1
1939,17.5
